model_key,chunk_size,build_time,n_chunks,latency_ms,qa_source,Recall@3,Precision@3,MRR@3,Recall@5,Precision@5,MRR@5,Recall@10,Precision@10,MRR@10
BM25,256,0.53,10260,25.82,manual,0.0536,0.9,0.9567,0.0859,0.858,0.9592,0.1541,0.775,0.9606
MiniLM,256,1.92,10260,25.7,manual,0.0171,0.2867,0.29,0.0281,0.282,0.29,0.0555,0.279,0.29
MPNet,256,1.98,10260,26.77,manual,0.0547,0.9133,0.94,0.0897,0.9,0.9425,0.1668,0.847,0.9425
BGE,256,2.94,10260,34.33,manual,0.0584,0.98,0.99,0.0963,0.97,0.99,0.1868,0.94,0.99
BM25,512,0.35,5106,11.5,manual,0.1123,0.92,0.9783,0.1751,0.862,0.9783,0.2926,0.746,0.9793
MiniLM,512,1.6,5106,6.99,manual,0.1117,0.92,0.975,0.1754,0.872,0.975,0.3018,0.777,0.975
MPNet,512,1.87,5106,17.18,manual,0.1051,0.8767,0.91,0.1726,0.864,0.9165,0.3015,0.785,0.9189
BGE,512,3.52,5106,32.4,manual,0.1166,0.9667,0.99,0.191,0.95,0.99,0.3406,0.875,0.99
BM25,1024,0.35,2332,4.75,manual,0.249,0.93,0.99,0.3752,0.854,0.99,0.5401,0.658,0.9917
MiniLM,1024,1.64,2332,5.03,manual,0.2358,0.8833,0.9567,0.3436,0.804,0.9567,0.49,0.612,0.9567
MPNet,1024,2.05,2332,17.28,manual,0.2242,0.8533,0.9217,0.3304,0.782,0.9217,0.5044,0.637,0.9227
BGE,1024,3.4,2332,25.86,manual,0.2531,0.9467,0.9833,0.379,0.888,0.9833,0.5694,0.712,0.985
